,Year,Type of Complaint,Month,Complaints_count
571,2024,Fair Chance Housing Complaints Filed,December,
572,2024,Fair Contracting Complaints Filed,December,
573,2024,Housing Complaints Filed,December,
574,2024,Private Employment Complaints Filed,December,
575,2024,Public Accommodations Complaints Filed,December,
576,2017,Total Complaints Filed by Month,Total,186.0
577,2017,City Employment Complaints Filed,Total,8.0
578,2017,Public Accommodations Complaints Filed,Total,31.0
579,2017,Housing Complaints Filed,Total,77.0
580,2017,Private Employment Complaints Filed,Total,68.0
581,2018,Fair Contracting Complaints Filed,Total,1.0
582,2018,Fair Chance Housing Complaints Filed,Total,15.0
583,2018,Housing Complaints Filed,Total,54.0
584,2018,Total Complaints Filed by Month,Total,192.0
585,2018,Public Accommodations Complaints Filed,Total,30.0
586,2018,Private Employment Complaints Filed,Total,81.0
587,2018,City Employment Complaints Filed,Total,11.0
588,2019,City Employment Complaints Filed,Total,1.0
589,2019,Fair Chance Housing Complaints Filed,Total,7.0
590,2019,Fair Contracting Complaints Filed,Total,0.0
591,2019,Housing Complaints Filed,Total,36.0
592,2019,Private Employment Complaints Filed,Total,38.0
593,2019,Public Accommodations Complaints Filed,Total,15.0
594,2020,City Employment Complaints Filed,Total,6.0
595,2020,Fair Chance Housing Complaints Filed,Total,2.0
596,2020,Fair Contracting Complaints Filed,Total,0.0
597,2020,Housing Complaints Filed,Total,43.0
598,2020,Private Employment Complaints Filed,Total,42.0
599,2020,Public Accommodations Complaints Filed,Total,7.0
600,2021,City Employment Complaints Filed,Total,5.0
601,2021,Fair Chance Housing Complaints Filed,Total,9.0
602,2021,Fair Contracting Complaints Filed,Total,0.0
603,2021,Housing Complaints Filed,Total,42.0
604,2021,Private Employment Complaints Filed,Total,30.0
605,2021,Public Accommodations Complaints Filed,Total,7.0
606,2022,City Employment Complaints Filed,Total,0.0
607,2022,Fair Chance Housing Complaints Filed,Total,0.0
608,2022,Fair Contracting Complaints Filed,Total,0.0
609,2022,Housing Complaints Filed,Total,2.0
610,2022,Private Employment Complaints Filed,Total,1.0
611,2022,Public Accommodations Complaints Filed,Total,0.0
612,2023,City Employment Complaints Filed,Total,6.0
613,2023,Fair Chance Housing Complaints Filed,Total,2.0
614,2023,Fair Contracting Complaints Filed,Total,0.0
615,2023,Housing Complaints Filed,Total,32.0
616,2023,Private Employment Complaints Filed,Total,14.0
617,2023,Public Accommodations Complaints Filed,Total,5.0
618,2024,City Employment Complaints Filed,Total,2.0
619,2024,Fair Chance Housing Complaints Filed,Total,0.0
620,2024,Fair Contracting Complaints Filed,Total,0.0
621,2024,Housing Complaints Filed,Total,1.0
622,2024,Private Employment Complaints Filed,Total,2.0
623,2024,Public Accommodations Complaints Filed,Total,0.0
